                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94535,                 1.7463,                 1.2567,                0.36001,                0.52391,                 0.4958,                0.37823,                0.81444,                0.87664,                 1.0619,              0.0033272,              0.0033272,              0.0033272
                      2,                0.81187,                 1.0969,                 1.1639,                0.59408,                0.45394,                0.42348,                 0.3027,                0.93156,                 1.2736,                 1.1688,              0.0065946,              0.0065946,              0.0065946
                      3,                0.90225,                 1.1808,                 1.2205,                0.40347,                0.43237,                0.43368,                0.28814,                  1.089,                 1.1734,                 1.2936,               0.009796,               0.009796,               0.009796
                      4,                 0.9609,                  1.231,                 1.2657,                 0.6121,                0.49463,                0.47841,                0.35159,                0.88878,                0.99272,                 1.1475,               0.009703,               0.009703,               0.009703
                      5,                0.91596,                 1.1686,                 1.2366,                0.44289,                0.54568,                0.46395,                0.33299,                0.90533,                 1.0674,                 1.1287,               0.009604,               0.009604,               0.009604
                      6,                0.87561,                 1.1145,                 1.2141,                0.43328,                 0.5761,                0.51013,                0.38489,                   0.79,                0.92957,                 1.0355,               0.009505,               0.009505,               0.009505
                      7,                 0.8569,                 1.0596,                 1.1926,                0.68986,                0.52262,                0.52778,                0.41024,                0.79388,                 0.8273,                 1.0911,               0.009406,               0.009406,               0.009406
                      8,                0.83196,                 1.0227,                 1.1767,                0.49113,                0.60456,                0.53775,                0.41339,                 0.7757,                0.80215,                 1.0357,               0.009307,               0.009307,               0.009307
                      9,                0.82203,                 1.0093,                  1.171,                0.48789,                0.63331,                0.57108,                0.44802,                0.73402,                0.76231,                 1.0087,               0.009208,               0.009208,               0.009208
                     10,                0.79366,                0.96698,                 1.1537,                0.72872,                0.52552,                0.54897,                 0.4411,                0.70739,                0.76822,                0.98262,               0.009109,               0.009109,               0.009109
                     11,                0.78477,                0.94738,                  1.151,                0.71948,                0.52975,                0.54749,                0.43949,                0.70611,                0.78612,                0.97369,                0.00901,                0.00901,                0.00901
                     12,                0.77179,                0.93222,                 1.1377,                0.56252,                0.59351,                0.58506,                 0.4758,                0.67824,                 0.6916,                0.97069,               0.008911,               0.008911,               0.008911
                     13,                 0.7693,                0.91241,                 1.1412,                0.47012,                0.67706,                0.58426,                0.47595,                 0.6921,                0.66894,                0.97706,               0.008812,               0.008812,               0.008812
                     14,                 0.7518,                0.89373,                 1.1322,                 0.5191,                0.68264,                0.60562,                 0.4928,                0.68214,                0.68239,                0.96083,               0.008713,               0.008713,               0.008713
                     15,                0.74459,                  0.872,                 1.1238,                0.76984,                0.56495,                0.59464,                0.48185,                0.70988,                0.69968,                0.99416,               0.008614,               0.008614,               0.008614
                     16,                0.73919,                0.87011,                 1.1192,                 0.5351,                0.66567,                  0.615,                0.50388,                0.65954,                0.65991,                0.95569,               0.008515,               0.008515,               0.008515
                     17,                0.72845,                0.85636,                 1.1129,                0.50343,                0.68297,                0.63299,                0.52154,                0.66685,                0.64019,                0.95379,               0.008416,               0.008416,               0.008416
                     18,                0.71718,                0.83866,                 1.1083,                0.79356,                0.57781,                0.60705,                 0.5022,                0.65049,                0.64722,                0.94626,               0.008317,               0.008317,               0.008317
                     19,                0.71499,                0.83282,                 1.1079,                0.52295,                0.68751,                0.63088,                0.52673,                0.62914,                0.60996,                0.93296,               0.008218,               0.008218,               0.008218
