                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84804,                0.75513,                 1.1177,                 0.6667,                0.72848,                0.72192,                0.60366,                0.63478,                0.52516,                0.98558,               0.006535,               0.006535,               0.006535
                     37,                0.84505,                0.75272,                  1.111,                 0.6632,                0.70552,                0.70916,                0.59759,                0.63508,                0.54357,                0.97659,               0.006436,               0.006436,               0.006436
                     38,                0.83785,                0.74573,                 1.1116,                0.72304,                0.72584,                0.74603,                 0.6299,                0.62571,                0.50303,                0.97713,               0.006337,               0.006337,               0.006337
                     39,                0.83098,                0.72563,                 1.1086,                0.69072,                0.72761,                0.73919,                0.62133,                0.62446,                0.50316,                0.98099,               0.006238,               0.006238,               0.006238
                     40,                0.82802,                0.72243,                 1.1017,                  0.705,                0.74113,                0.74812,                0.63424,                0.61725,                0.50316,                 0.9737,               0.006139,               0.006139,               0.006139
                     41,                0.82159,                0.72041,                 1.1024,                 0.7012,                0.70335,                0.71702,                0.59739,                0.62463,                0.52017,                0.97767,                0.00604,                0.00604,                0.00604
                     42,                0.81529,                0.71108,                 1.0977,                0.70086,                0.75417,                0.75906,                0.63966,                 0.6207,                0.47812,                0.97949,               0.005941,               0.005941,               0.005941
                     43,                 0.8169,                0.70463,                  1.097,                0.70975,                0.74213,                0.75682,                0.63985,                0.60582,                0.49311,                0.96908,               0.005842,               0.005842,               0.005842
                     44,                0.81457,                0.70163,                 1.0964,                 0.6848,                0.73601,                0.73163,                0.61919,                0.61049,                0.48696,                0.97536,               0.005743,               0.005743,               0.005743
                     45,                 0.8037,                0.69907,                 1.0922,                0.69349,                0.73774,                0.73334,                0.62286,                0.60444,                 0.4948,                0.96914,               0.005644,               0.005644,               0.005644
                     46,                0.79447,                 0.6821,                 1.0896,                0.73551,                0.70317,                0.73967,                0.62482,                0.60028,                0.49019,                 0.9687,               0.005545,               0.005545,               0.005545
                     47,                0.81203,                 0.6924,                 1.1012,                0.71301,                0.75186,                 0.7693,                0.64777,                 0.6056,                0.46323,                0.97148,               0.005446,               0.005446,               0.005446
                     48,                0.79498,                0.68487,                 1.0905,                0.72276,                0.72668,                0.74868,                0.63495,                0.60734,                0.48477,                0.97215,               0.005347,               0.005347,               0.005347
                     49,                0.78787,                  0.669,                 1.0806,                 0.7635,                0.68765,                0.74409,                0.63408,                0.60315,                0.49247,                0.96873,               0.005248,               0.005248,               0.005248
                     50,                0.78668,                0.66745,                 1.0844,                0.73838,                0.74251,                0.75093,                 0.6402,                0.60642,                0.47873,                0.96959,               0.005149,               0.005149,               0.005149
                     51,                0.77802,                0.65693,                 1.0722,                0.73846,                0.71699,                0.75157,                 0.6386,                0.60864,                0.47992,                0.97321,                0.00505,                0.00505,                0.00505
                     52,                0.78896,                0.65776,                 1.0828,                0.71573,                0.73988,                 0.7428,                0.63231,                0.60913,                0.46733,                0.97501,               0.004951,               0.004951,               0.004951
                     53,                0.76922,                0.64775,                 1.0691,                0.69877,                0.74672,                 0.7385,                0.63325,                 0.5908,                0.48619,                  0.962,               0.004852,               0.004852,               0.004852
                     54,                0.76718,                0.64047,                 1.0703,                0.75265,                0.74587,                0.77111,                 0.6582,                0.59625,                0.46437,                 0.9632,               0.004753,               0.004753,               0.004753
                     55,                0.76957,                0.64764,                  1.072,                0.71601,                0.74463,                0.75031,                0.64422,                0.59196,                0.47153,                0.96192,               0.004654,               0.004654,               0.004654
                     56,                0.75995,                0.62076,                 1.0644,                0.72462,                0.75939,                0.77205,                0.65911,                0.59169,                0.45771,                0.95844,               0.004555,               0.004555,               0.004555
                     57,                0.76369,                0.62706,                  1.066,                  0.726,                0.77152,                0.76084,                0.65393,                0.59182,                0.45939,                0.96256,               0.004456,               0.004456,               0.004456
                     58,                0.76129,                0.61719,                 1.0691,                0.72263,                0.76508,                0.77341,                0.66117,                0.58292,                0.45167,                0.95929,               0.004357,               0.004357,               0.004357
                     59,                0.76036,                0.61576,                 1.0647,                 0.6996,                0.77579,                0.76554,                0.65459,                0.59292,                0.45678,                0.96496,               0.004258,               0.004258,               0.004258
                     60,                0.75634,                0.61532,                 1.0641,                0.73642,                0.77517,                0.76349,                 0.6534,                 0.5796,                0.45876,                0.95899,               0.004159,               0.004159,               0.004159
                     61,                 0.7539,                0.60811,                 1.0614,                0.76299,                0.71736,                0.76215,                0.65197,                0.58447,                0.45924,                0.96157,                0.00406,                0.00406,                0.00406
                     62,                0.74962,                0.60473,                 1.0583,                0.75019,                0.74101,                0.76674,                0.65489,                0.58862,                0.46061,                 0.9651,               0.003961,               0.003961,               0.003961
                     63,                0.73597,                0.58827,                 1.0473,                0.77356,                0.75172,                 0.7877,                0.67273,                0.58095,                0.43843,                0.95819,               0.003862,               0.003862,               0.003862
                     64,                0.73272,                0.58918,                 1.0518,                0.75804,                0.73798,                0.76767,                0.65992,                0.57749,                0.45917,                0.95153,               0.003763,               0.003763,               0.003763
                     65,                0.72511,                0.58661,                 1.0443,                0.75524,                0.74728,                0.77789,                0.67392,                 0.5728,                0.44665,                0.95279,               0.003664,               0.003664,               0.003664
                     66,                0.72925,                 0.5808,                 1.0505,                0.73046,                0.74953,                 0.7747,                0.67012,                0.57426,                0.44761,                0.95427,               0.003565,               0.003565,               0.003565
                     67,                0.72599,                0.57745,                 1.0446,                0.77248,                0.74166,                0.78206,                0.67636,                0.56864,                0.44277,                0.95244,               0.003466,               0.003466,               0.003466
                     68,                0.72114,                0.57437,                 1.0429,                0.77397,                0.73793,                0.77782,                0.67598,                 0.5676,                0.43402,                0.95161,               0.003367,               0.003367,               0.003367
                     69,                0.72072,                0.56297,                 1.0422,                0.69739,                0.79715,                0.77291,                0.66915,                0.56986,                0.43431,                0.95363,               0.003268,               0.003268,               0.003268
                     70,                0.70882,                 0.5599,                 1.0367,                0.72017,                0.78773,                0.77686,                0.67285,                0.57185,                0.44432,                0.95459,               0.003169,               0.003169,               0.003169
                     71,                0.71371,                0.55576,                 1.0369,                0.76046,                0.72888,                0.76904,                0.66703,                0.56836,                0.44602,                0.95181,                0.00307,                0.00307,                0.00307
                     72,                0.71753,                0.56793,                 1.0473,                 0.7723,                 0.7224,                0.77297,                0.67368,                0.56563,                0.44835,                 0.9517,               0.002971,               0.002971,               0.002971
                     73,                0.70922,                0.54852,                  1.034,                0.73243,                0.75018,                0.76611,                0.66888,                0.56582,                0.44697,                0.95195,               0.002872,               0.002872,               0.002872
                     74,                0.70129,                0.54064,                 1.0331,                0.77384,                0.73523,                0.76445,                0.66854,                 0.5681,                0.44643,                0.95252,               0.002773,               0.002773,               0.002773
                     75,                0.68863,                0.53359,                 1.0258,                0.74768,                0.73286,                0.76487,                0.66398,                0.56945,                  0.446,                0.95687,               0.002674,               0.002674,               0.002674
                     76,                0.69101,                0.52475,                 1.0288,                0.71662,                0.76502,                 0.7667,                0.66849,                0.56988,                0.44897,                0.95413,               0.002575,               0.002575,               0.002575
                     77,                0.68956,                0.53359,                  1.027,                0.75074,                0.73644,                0.76909,                0.67003,                0.56104,                0.44458,                 0.9474,               0.002476,               0.002476,               0.002476
                     78,                0.69332,                0.53146,                 1.0301,                0.76611,                0.72049,                0.76355,                0.66722,                0.56217,                0.44793,                0.95091,               0.002377,               0.002377,               0.002377
                     79,                0.68861,                0.52159,                 1.0261,                0.73501,                0.75701,                0.75769,                0.66178,                0.56296,                0.44657,                0.95109,               0.002278,               0.002278,               0.002278
                     80,                0.68325,                0.51787,                 1.0207,                0.78157,                0.71446,                0.75986,                0.66447,                0.56288,                0.44773,                0.95107,               0.002179,               0.002179,               0.002179
                     81,                0.67359,                0.50624,                 1.0236,                0.72729,                0.75542,                0.75961,                0.66481,                0.56277,                0.44789,                0.95167,                0.00208,                0.00208,                0.00208
                     82,                0.67106,                0.50653,                 1.0215,                0.74544,                0.73128,                0.75762,                0.66358,                0.56103,                0.44268,                 0.9538,               0.001981,               0.001981,               0.001981
                     83,                 0.6734,                0.51064,                 1.0242,                0.70326,                0.76693,                0.75895,                0.66512,                0.56274,                0.44437,                0.95488,               0.001882,               0.001882,               0.001882
                     84,                0.66421,                0.49677,                 1.0206,                0.75624,                0.72619,                0.76047,                0.66377,                0.56153,                0.44703,                0.95668,               0.001783,               0.001783,               0.001783
                     85,                0.66321,                0.48999,                 1.0168,                0.76926,                0.71871,                0.76375,                0.66799,                 0.5573,                0.44649,                0.95159,               0.001684,               0.001684,               0.001684
                     86,                0.65742,                0.47967,                  1.015,                0.73563,                0.75825,                0.76855,                0.67114,                0.55915,                 0.4471,                0.95419,               0.001585,               0.001585,               0.001585
                     87,                0.65374,                0.48447,                 1.0126,                0.72526,                0.76137,                 0.7634,                0.66796,                0.56313,                 0.4484,                0.96019,               0.001486,               0.001486,               0.001486
                     88,                 0.6642,                0.49158,                 1.0244,                0.75678,                0.73226,                0.75969,                 0.6636,                0.56201,                0.45264,                 0.9611,               0.001387,               0.001387,               0.001387
                     89,                0.65353,                0.48413,                 1.0181,                0.73534,                0.75937,                0.75882,                0.66338,                0.55938,                0.45482,                0.96037,               0.001288,               0.001288,               0.001288
                     90,                0.64889,                0.47822,                 1.0167,                0.74014,                0.75075,                0.76215,                0.66642,                0.55907,                0.45242,                0.96208,               0.001189,               0.001189,               0.001189
                     91,                 0.4663,                0.27431,                0.87634,                0.75824,                0.75022,                0.76164,                0.66626,                0.56195,                0.45616,                0.96294,                0.00109,                0.00109,                0.00109
                     92,                0.46103,                0.27196,                0.87641,                0.74931,                0.74265,                0.75671,                0.66421,                0.55975,                0.45829,                0.95936,               0.000991,               0.000991,               0.000991
                     93,                0.45039,                0.26318,                0.87217,                0.75762,                 0.7349,                0.75868,                0.66458,                0.55776,                0.45991,                 0.9576,               0.000892,               0.000892,               0.000892
                     94,                0.44357,                0.25419,                0.87116,                0.74858,                0.73765,                 0.7622,                 0.6691,                 0.5593,                0.45839,                 0.9585,               0.000793,               0.000793,               0.000793
                     95,                0.43605,                0.25205,                0.86629,                0.73341,                 0.7568,                0.76228,                0.66916,                0.55862,                 0.4575,                0.95861,               0.000694,               0.000694,               0.000694
                     96,                 0.4384,                0.24751,                0.87064,                0.75351,                0.74444,                0.76225,                0.66783,                0.55869,                0.45679,                0.95998,               0.000595,               0.000595,               0.000595
                     97,                0.43275,                0.24255,                0.86513,                0.75146,                0.73467,                0.76076,                0.66708,                0.55757,                0.45595,                0.95959,               0.000496,               0.000496,               0.000496
                     98,                0.42232,                0.23712,                0.85952,                0.73199,                0.73739,                0.76016,                0.66762,                0.55773,                0.45773,                0.95977,               0.000397,               0.000397,               0.000397
                     99,                0.42522,                0.23835,                0.86365,                0.71714,                0.75506,                0.75599,                0.66262,                0.55795,                0.45994,                0.95936,               0.000298,               0.000298,               0.000298
                    100,                0.41947,                0.23184,                0.85702,                0.72444,                0.75012,                0.75659,                0.66312,                0.55876,                0.45851,                0.96062,               0.000199,               0.000199,               0.000199
