                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85344,                0.75393,                 1.1209,                0.66687,                0.73258,                0.71256,                 0.5966,                0.63968,                0.52129,                0.99494,               0.006535,               0.006535,               0.006535
                     37,                0.84436,                0.74933,                 1.1143,                0.62433,                0.73359,                0.70912,                 0.5958,                0.63572,                0.52982,                 0.9839,               0.006436,               0.006436,               0.006436
                     38,                0.83763,                0.73773,                 1.1083,                0.66735,                0.71674,                0.72311,                0.60723,                0.62368,                0.52583,                0.97544,               0.006337,               0.006337,               0.006337
                     39,                0.82646,                0.71975,                 1.1058,                 0.6742,                0.71258,                0.71719,                0.60054,                0.62433,                0.51429,                0.98906,               0.006238,               0.006238,               0.006238
                     40,                0.82733,                0.72508,                 1.1074,                0.62232,                0.74747,                0.71452,                0.60688,                0.61528,                0.50241,                0.97647,               0.006139,               0.006139,               0.006139
                     41,                0.81762,                0.72025,                 1.1046,                0.66105,                0.72605,                0.72317,                0.60865,                  0.619,                0.51785,                0.97832,                0.00604,                0.00604,                0.00604
                     42,                 0.8131,                0.71068,                 1.0965,                0.71501,                0.69966,                0.74371,                0.62766,                0.62515,                0.48813,                0.98741,               0.005941,               0.005941,               0.005941
                     43,                0.81451,                0.70457,                 1.0986,                0.69786,                0.70852,                0.73935,                0.62749,                0.61061,                0.49731,                0.97603,               0.005842,               0.005842,               0.005842
                     44,                0.81457,                0.70474,                 1.0985,                 0.7016,                0.71506,                 0.7299,                0.61886,                0.61597,                0.49391,                0.97687,               0.005743,               0.005743,               0.005743
                     45,                0.80429,                0.69969,                 1.0917,                0.69831,                0.72472,                0.73567,                0.62101,                 0.6144,                0.49174,                0.97696,               0.005644,               0.005644,               0.005644
                     46,                0.80041,                0.69041,                 1.0936,                 0.7056,                0.72947,                  0.741,                0.62634,                0.61456,                0.49111,                0.97913,               0.005545,               0.005545,               0.005545
