                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0153,                 0.8222,                 1.1889,                0.60541,                0.50398,                 0.4925,                0.38583,                0.85703,                0.62562,                 1.0841,               0.006634,               0.006634,               0.006634
                     37,                 1.0207,                0.82331,                 1.1927,                0.60753,                0.49663,                0.49698,                0.38641,                 0.8646,                0.61646,                 1.0863,               0.006535,               0.006535,               0.006535
                     38,                 1.0184,                0.82599,                 1.1859,                0.80719,                0.47097,                0.50657,                0.39725,                0.85297,                0.60412,                 1.0888,               0.006436,               0.006436,               0.006436
                     39,                 1.0174,                0.81128,                 1.1972,                0.61974,                0.49961,                0.50473,                0.39509,                0.85595,                 0.6025,                 1.0851,               0.006337,               0.006337,               0.006337
                     40,                 1.0014,                0.81973,                 1.1846,                0.64651,                0.49246,                0.51279,                0.39958,                0.86077,                0.60485,                 1.0818,               0.006238,               0.006238,               0.006238
                     41,                0.99879,                 0.8045,                 1.1741,                0.60897,                0.52043,                0.50558,                0.39545,                0.85478,                0.59143,                 1.0792,               0.006139,               0.006139,               0.006139
                     42,                0.99619,                0.79549,                 1.1722,                0.61734,                0.49973,                0.50688,                0.39764,                0.85457,                0.59052,                  1.084,                0.00604,                0.00604,                0.00604
                     43,                0.99502,                 0.7985,                 1.1776,                0.81419,                0.47857,                0.50904,                0.39829,                0.84971,                0.58663,                 1.0824,               0.005941,               0.005941,               0.005941
                     44,                0.99464,                0.78315,                 1.1759,                0.62582,                0.48884,                0.50724,                0.39932,                 0.8503,                 0.5907,                 1.0782,               0.005842,               0.005842,               0.005842
                     45,                0.98905,                0.77726,                 1.1745,                0.66372,                0.49016,                0.51906,                 0.4072,                0.83895,                0.57981,                 1.0713,               0.005743,               0.005743,               0.005743
                     46,                0.98305,                0.77794,                 1.1665,                0.66229,                0.52802,                  0.512,                0.39815,                0.85452,                0.57452,                 1.0817,               0.005644,               0.005644,               0.005644
                     47,                0.98312,                0.77514,                 1.1675,                0.49004,                0.49118,                0.51162,                0.40069,                0.85792,                0.58952,                 1.0878,               0.005545,               0.005545,               0.005545
                     48,                0.98327,                0.77139,                 1.1694,                0.48528,                0.55352,                0.53345,                0.41862,                0.84789,                 0.5631,                 1.0847,               0.005446,               0.005446,               0.005446
                     49,                 0.9768,                0.76635,                 1.1596,                0.67444,                0.53678,                 0.5524,                0.43074,                0.84159,                0.56234,                 1.0722,               0.005347,               0.005347,               0.005347
                     50,                0.96698,                0.74776,                 1.1598,                 0.6456,                0.51431,                0.52594,                0.41154,                0.85309,                0.56947,                 1.0772,               0.005248,               0.005248,               0.005248
