                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96389,                 1.7365,                 1.2746,                 0.7256,                0.50143,                0.52362,                0.40965,                 0.7658,                 0.8458,                 1.0298,              0.0033273,              0.0033273,              0.0033273
                      2,                0.81341,                  1.084,                  1.167,                0.66854,                0.49953,                0.50769,                0.37789,                0.85022,                0.91879,                 1.0855,              0.0065947,              0.0065947,              0.0065947
                      3,                0.90133,                 1.1534,                 1.2255,                0.59805,                0.49642,                0.42978,                0.30958,                0.95877,                  1.172,                 1.1988,              0.0097961,              0.0097961,              0.0097961
                      4,                0.95783,                 1.2417,                 1.2591,                0.67956,                0.43677,                0.46732,                 0.3443,                0.90322,                0.99677,                 1.1288,               0.009703,               0.009703,               0.009703
                      5,                0.91345,                 1.1662,                 1.2383,                0.42641,                0.56705,                0.53467,                0.40343,                0.82155,                0.93018,                 1.0704,               0.009604,               0.009604,               0.009604
                      6,                0.86907,                 1.0895,                 1.2034,                0.70336,                0.54538,                0.54087,                 0.4056,                0.84185,                0.89326,                 1.0795,               0.009505,               0.009505,               0.009505
                      7,                0.85267,                  1.062,                 1.1958,                0.56751,                0.59943,                0.57939,                0.44991,                0.80355,                0.79327,                  1.059,               0.009406,               0.009406,               0.009406
                      8,                 0.8343,                 1.0137,                 1.1847,                0.50555,                0.59521,                0.56647,                 0.4431,                0.75469,                 0.7918,                 1.0162,               0.009307,               0.009307,               0.009307
                      9,                0.81279,                0.99347,                 1.1756,                0.74888,                0.54158,                0.55519,                0.43326,                 0.7646,                0.81699,                 1.0194,               0.009208,               0.009208,               0.009208
                     10,                0.79376,                0.95875,                 1.1576,                0.55763,                0.59662,                0.59093,                0.48362,                 0.6996,                0.73803,                0.97581,               0.009109,               0.009109,               0.009109
                     11,                0.77525,                0.92641,                 1.1465,                 0.7283,                0.58471,                0.60345,                0.48052,                0.71518,                 0.7231,                 0.9766,                0.00901,                0.00901,                0.00901
                     12,                0.77214,                0.91372,                  1.141,                0.52099,                0.64573,                0.59056,                0.46561,                0.75342,                0.71352,                 1.0129,               0.008911,               0.008911,               0.008911
                     13,                0.75429,                0.90015,                 1.1334,                0.44515,                0.64744,                0.54022,                0.43235,                0.70186,                0.83473,                0.98612,               0.008812,               0.008812,               0.008812
                     14,                0.74957,                0.88697,                 1.1292,                0.58096,                0.60325,                0.61236,                0.49239,                0.71118,                0.70885,                0.99068,               0.008713,               0.008713,               0.008713
                     15,                0.75018,                0.86998,                 1.1298,                0.56078,                0.65608,                0.62187,                0.50855,                0.67983,                0.67857,                0.97237,               0.008614,               0.008614,               0.008614
                     16,                 0.7276,                0.85161,                  1.116,                0.58013,                0.62718,                0.63777,                0.53097,                0.64329,                0.63069,                0.94829,               0.008515,               0.008515,               0.008515
                     17,                0.72987,                0.84685,                 1.1135,                0.56271,                0.65791,                 0.6079,                0.50496,                0.65765,                 0.6524,                0.95066,               0.008416,               0.008416,               0.008416
                     18,                0.72088,                0.84009,                  1.113,                 0.5511,                0.67538,                0.64037,                0.53472,                0.63882,                0.66903,                0.94526,               0.008317,               0.008317,               0.008317
                     19,                0.71874,                0.82691,                 1.1088,                0.57415,                0.67417,                0.64682,                0.53761,                0.66182,                0.61569,                0.94882,               0.008218,               0.008218,               0.008218
                     20,                0.70715,                0.81354,                 1.0975,                0.59844,                0.65863,                0.64601,                 0.5431,                0.62073,                0.61725,                 0.9354,               0.008119,               0.008119,               0.008119
                     21,                0.70229,                0.80069,                 1.0989,                0.59133,                0.66615,                0.65622,                0.55218,                0.62295,                0.59288,                0.90871,                0.00802,                0.00802,                0.00802
                     22,                0.69403,                0.79154,                 1.0938,                0.60212,                0.66344,                0.65062,                0.53933,                0.63988,                0.63634,                0.92995,               0.007921,               0.007921,               0.007921
                     23,                0.69503,                0.79575,                 1.0988,                0.56873,                0.72037,                0.67157,                0.56351,                0.61762,                 0.5956,                0.91165,               0.007822,               0.007822,               0.007822
                     24,                0.68592,                0.77329,                 1.0857,                 0.6289,                0.69623,                0.68561,                0.58021,                0.59736,                0.55817,                0.90392,               0.007723,               0.007723,               0.007723
                     25,                0.67961,                0.76575,                  1.086,                0.63601,                0.67343,                0.67141,                0.56466,                0.62257,                0.57848,                0.92514,               0.007624,               0.007624,               0.007624
                     26,                 0.6769,                0.75761,                 1.0818,                0.61449,                0.66434,                0.66252,                 0.5637,                0.60095,                0.57716,                0.90107,               0.007525,               0.007525,               0.007525
                     27,                0.67161,                0.75025,                 1.0826,                0.63705,                0.70553,                0.68779,                0.58986,                 0.5881,                0.55993,                0.90271,               0.007426,               0.007426,               0.007426
